HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458960.07222,2020-04-20.5749832,bA,1.65,17.143,>17.143,99.990,0.206,0.101,g
2458961.08358,2020-04-21.5862862,bB,2.02,17.303,>17.303,99.990,0.379,0.087,g
2458961.08488,2020-04-21.5875751,bB,2.03,17.341,>17.341,99.990,0.370,0.084,g
2458961.08616,2020-04-21.5888623,bB,2.02,17.358,>17.358,99.990,0.389,0.083,g
2458965.06479,2020-04-25.5672315,bA,1.69,99.990,99.990,99.990,99.990,99.990,g
2458965.06607,2020-04-25.5685168,bA,1.76,99.990,99.990,99.990,99.990,99.990,g
2458965.06737,2020-04-25.5698040,bA,1.60,99.990,99.990,99.990,99.990,99.990,g
2458966.06224,2020-04-26.5646162,bA,1.99,16.858,>16.858,99.990,0.440,0.131,g
2458966.06353,2020-04-26.5659019,bA,1.59,16.987,>16.987,99.990,0.305,0.116,g
2458966.06481,2020-04-26.5671891,bA,1.99,17.164,>17.164,99.990,0.489,0.099,g
2458966.08170,2020-04-26.5840688,bB,2.02,17.258,>17.258,99.990,0.447,0.091,g
2458966.08299,2020-04-26.5853606,bB,2.03,17.262,>17.262,99.990,0.414,0.090,g
2458966.08428,2020-04-26.5866484,bB,2.02,17.413,17.392,0.215,0.401,0.079,g
2458967.91457,2020-04-28.4168186,bq,1.49,16.810,>16.810,99.990,0.362,0.137,g
2458967.91579,2020-04-28.4180384,bq,1.44,16.895,>16.895,99.990,0.236,0.127,g
2458967.91701,2020-04-28.4192543,bq,1.54,16.828,>16.828,99.990,0.631,0.135,g
2458968.11330,2020-04-28.6155408,bB,2.03,17.368,17.108,0.173,0.521,0.082,g
2458968.11460,2020-04-28.6168325,bB,2.03,17.503,17.460,0.211,0.377,0.072,g
2458968.11587,2020-04-28.6181174,bB,2.03,17.158,16.953,0.182,0.601,0.100,g
2458970.03640,2020-04-30.5385155,bA,2.02,17.131,16.888,0.176,0.638,0.102,g
2458970.03769,2020-04-30.5398038,bA,2.01,17.112,>17.112,99.990,0.459,0.104,g
2458970.03899,2020-04-30.5410929,bA,2.00,17.035,>17.035,99.990,0.329,0.111,g
2458971.07967,2020-05-01.5816931,bB,2.11,17.453,17.326,0.195,0.426,0.076,g
2458971.08095,2020-05-01.5829785,bB,2.18,17.508,>17.508,99.990,0.314,0.072,g
2458971.08224,2020-05-01.5842689,bB,2.18,17.563,>17.563,99.990,0.220,0.069,g
2458974.03841,2020-05-04.5402259,bA,2.07,16.038,>16.038,99.990,-0.082,0.279,g
2458974.03970,2020-05-04.5415192,bA,2.06,16.025,>16.025,99.990,0.446,0.283,g
2458974.04099,2020-05-04.5428125,bA,2.07,16.045,>16.045,99.990,0.895,0.277,g
2458974.07376,2020-05-04.5755682,bB,2.16,16.916,>16.916,99.990,0.529,0.124,g
2458974.07504,2020-05-04.5768543,bB,2.16,17.168,>17.168,99.990,0.074,0.099,g
2458974.07633,2020-05-04.5781408,bB,2.17,17.032,>17.032,99.990,0.252,0.112,g
2458975.88888,2020-05-06.3905607,bq,1.53,15.800,>15.800,99.990,0.511,0.348,g
2458975.89010,2020-05-06.3917884,bq,1.47,15.633,>15.633,99.990,-0.510,0.405,g
2458975.89132,2020-05-06.3929989,bq,1.49,15.626,>15.626,99.990,0.489,0.408,g
2458975.91862,2020-05-06.4203067,br,1.54,15.936,>15.936,99.990,-0.429,0.307,g
2458978.65754,2020-05-09.1590128,bn,1.49,15.684,>15.684,99.990,0.479,0.387,g
2458978.65875,2020-05-09.1602275,bn,1.59,15.774,>15.774,99.990,0.231,0.356,g
2458978.65996,2020-05-09.1614339,bn,1.57,15.865,>15.865,99.990,-0.480,0.327,g
2458979.90112,2020-05-10.4024991,br,1.49,15.981,>15.981,99.990,0.648,0.294,g
2458979.90233,2020-05-10.4037142,br,1.46,16.170,>16.170,99.990,0.325,0.247,g
2458979.90354,2020-05-10.4049288,br,1.53,15.836,>15.836,99.990,0.507,0.336,g
2458981.67131,2020-05-12.1725635,bm,1.43,13.807,>13.807,99.990,-2.139,2.180,g
2458981.67253,2020-05-12.1737831,bm,1.61,14.116,>14.116,99.990,-3.213,1.640,g
2458981.67378,2020-05-12.1750342,bm,1.50,14.412,>14.412,99.990,0.398,1.248,g
2458982.01760,2020-05-12.5188268,bA,2.01,16.214,>16.214,99.990,0.138,0.237,g
2458982.01889,2020-05-12.5201196,bA,2.01,16.249,>16.249,99.990,-0.023,0.230,g
2458982.02018,2020-05-12.5214089,bA,2.01,16.334,>16.334,99.990,0.643,0.213,g
2458984.01135,2020-05-14.5124271,bA,1.64,16.477,>16.477,99.990,0.580,0.186,g
2458984.01264,2020-05-14.5137178,bA,1.63,16.764,>16.764,99.990,0.248,0.143,g
2458984.01393,2020-05-14.5150050,bA,1.64,16.614,>16.614,99.990,0.145,0.164,g
2458985.04383,2020-05-15.5448396,bB,2.18,16.947,>16.947,99.990,0.327,0.121,g
2458985.04513,2020-05-15.5461369,bB,2.19,16.866,>16.866,99.990,0.382,0.130,g
2458985.04642,2020-05-15.5474203,bB,2.19,16.968,>16.968,99.990,0.209,0.119,g
2458985.91138,2020-05-16.4123172,br,1.46,17.062,>17.062,99.990,0.430,0.109,g
2458985.91259,2020-05-16.4135274,br,1.48,17.088,16.751,0.161,0.724,0.106,g
2458985.91381,2020-05-16.4147421,br,1.48,17.146,>17.146,99.990,0.226,0.101,g
2458986.07989,2020-05-16.5808093,bA,1.54,17.087,>17.087,99.990,0.335,0.106,g
2458986.08118,2020-05-16.5821053,bA,1.96,17.014,>17.014,99.990,0.541,0.114,g
2458986.08248,2020-05-16.5833959,bA,1.61,16.986,>16.986,99.990,0.502,0.117,g
2458988.03479,2020-05-18.5355508,bB,2.03,17.590,>17.590,99.990,0.315,0.067,g
2458988.03608,2020-05-18.5368497,bB,2.04,17.467,>17.467,99.990,0.321,0.075,g
2458988.03737,2020-05-18.5381319,bB,2.04,17.412,>17.412,99.990,0.306,0.079,g
2458989.00785,2020-05-19.5085415,bA,1.96,17.311,17.243,0.206,0.460,0.086,g
2458989.62111,2020-05-20.1217515,bm,1.51,99.990,99.990,99.990,99.990,99.990,g
2458989.62232,2020-05-20.1229650,bm,1.51,99.990,99.990,99.990,99.990,99.990,g
2458989.62353,2020-05-20.1241738,bm,1.45,99.990,99.990,99.990,99.990,99.990,g
2458990.87433,2020-05-21.3749103,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458990.87559,2020-05-21.3761370,br,1.45,99.990,99.990,99.990,99.990,99.990,g
2458990.87678,2020-05-21.3773528,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458991.89138,2020-05-22.3918467,br,1.55,99.990,99.990,99.990,99.990,99.990,g
2458991.89259,2020-05-22.3930601,br,1.54,99.990,99.990,99.990,99.990,99.990,g
2458991.89381,2020-05-22.3942759,br,1.54,99.990,99.990,99.990,99.990,99.990,g
2458992.87299,2020-05-23.3733822,br,1.39,17.273,>17.273,99.990,0.413,0.090,g
2458992.87421,2020-05-23.3746016,br,1.42,17.220,17.174,0.210,0.490,0.094,g
2458992.87543,2020-05-23.3758223,br,1.44,99.990,99.990,99.990,99.990,99.990,g
2458993.85889,2020-05-24.3592087,br,1.45,99.990,99.990,99.990,99.990,99.990,g
2458993.86013,2020-05-24.3604491,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458993.86134,2020-05-24.3616615,br,1.45,99.990,99.990,99.990,99.990,99.990,g
2458994.97771,2020-05-25.4779342,bA,1.98,17.094,17.028,0.206,0.560,0.106,g
2458994.97900,2020-05-25.4792212,bA,1.98,17.100,>17.100,99.990,0.371,0.105,g
2458994.98028,2020-05-25.4805078,bA,1.99,17.105,>17.105,99.990,0.287,0.104,g
2458997.95788,2020-05-28.4578841,bq,1.58,15.995,>15.995,99.990,0.581,0.290,g
2458997.95911,2020-05-28.4591057,bq,1.57,15.829,>15.829,99.990,-0.731,0.338,g
2458997.96033,2020-05-28.4603206,bq,1.47,15.741,>15.741,99.990,1.093,0.367,g
2458998.85177,2020-05-29.3516928,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2458998.85299,2020-05-29.3529182,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2458998.85422,2020-05-29.3541437,br,1.40,99.990,99.990,99.990,99.990,99.990,g
2458999.92040,2020-05-30.4202332,bq,1.55,17.167,16.859,0.165,0.655,0.099,g
2458999.92161,2020-05-30.4214503,bq,1.57,17.141,>17.141,99.990,0.416,0.101,g
2458999.92283,2020-05-30.4226704,bq,1.61,17.072,17.070,0.219,0.540,0.108,g
2459000.61585,2020-05-31.1156350,bn,1.61,17.082,>17.082,99.990,0.463,0.107,g
2459000.61710,2020-05-31.1168881,bn,1.65,17.026,>17.026,99.990,0.273,0.112,g
2459000.61834,2020-05-31.1181263,bn,1.66,16.955,>16.955,99.990,0.420,0.120,g
2459001.58978,2020-06-01.0894815,bm,1.54,16.829,>16.829,99.990,0.335,0.135,g
2459001.59101,2020-06-01.0907197,bm,1.60,16.673,>16.673,99.990,0.240,0.156,g
2459001.59240,2020-06-01.0921087,bm,1.54,16.850,>16.850,99.990,0.266,0.132,g
2459003.58951,2020-06-03.0890608,bm,1.60,15.413,>15.413,99.990,0.359,0.496,g
2459003.59076,2020-06-03.0903098,bm,1.57,15.402,>15.402,99.990,0.653,0.502,g
2459003.59197,2020-06-03.0915295,bm,1.53,15.591,>15.591,99.990,0.526,0.421,g
2459003.61198,2020-06-03.1115327,bn,1.49,16.197,>16.197,99.990,0.347,0.241,g
2459003.61318,2020-06-03.1127356,bn,1.59,16.196,>16.196,99.990,-0.044,0.241,g
2459003.61439,2020-06-03.1139413,bn,1.42,15.384,>15.384,99.990,1.745,0.510,g
2459003.83672,2020-06-03.3362497,br,1.50,16.153,>16.153,99.990,0.808,0.251,g
2459003.83793,2020-06-03.3374657,br,1.45,16.283,>16.283,99.990,-0.187,0.223,g
2459003.83915,2020-06-03.3386828,br,1.49,16.144,>16.144,99.990,0.167,0.253,g
2459004.82267,2020-06-04.3221245,bq,1.48,15.867,>15.867,99.990,-0.307,0.327,g
2459004.82389,2020-06-04.3233440,bq,1.49,15.873,>15.873,99.990,-0.020,0.325,g
2459004.82510,2020-06-04.3245554,bq,1.52,16.156,>16.156,99.990,0.701,0.250,g
2459005.60827,2020-06-05.1076657,bn,1.53,15.549,>15.549,99.990,0.605,0.438,g
2459005.60950,2020-06-05.1088947,bn,1.53,15.464,>15.464,99.990,-0.166,0.473,g
2459005.61073,2020-06-05.1101246,bn,1.55,15.606,>15.606,99.990,0.872,0.416,g
2459006.83901,2020-06-06.3383096,bq,1.49,15.765,>15.765,99.990,0.575,0.359,g
2459006.84023,2020-06-06.3395254,bq,1.48,15.853,>15.853,99.990,-0.489,0.331,g
2459006.84144,2020-06-06.3407472,bq,1.49,15.913,>15.913,99.990,0.482,0.313,g
2459008.60085,2020-06-08.1000107,bn,1.56,15.683,>15.683,99.990,0.275,0.387,g
2459008.60208,2020-06-08.1012407,bn,1.53,15.703,>15.703,99.990,0.145,0.380,g
2459008.60331,2020-06-08.1024695,bn,1.58,15.641,>15.641,99.990,0.555,0.402,g
2459009.57122,2020-06-09.0703123,bm,1.68,15.383,>15.383,99.990,-1.916,0.511,g
2459009.57244,2020-06-09.0715326,bm,1.66,15.378,>15.378,99.990,0.084,0.513,g
2459009.57366,2020-06-09.0727483,bm,1.99,15.432,>15.432,99.990,0.567,0.488,g
2459010.98323,2020-06-10.4822173,bB,2.11,16.610,>16.610,99.990,0.448,0.165,g
2459010.98452,2020-06-10.4835087,bB,2.11,16.498,>16.498,99.990,0.098,0.183,g
2459010.98581,2020-06-10.4847923,bB,2.14,16.631,>16.631,99.990,0.450,0.162,g
2459011.95165,2020-06-11.4505523,bA,2.07,16.421,>16.421,99.990,0.419,0.196,g
2459011.95294,2020-06-11.4518475,bA,2.00,16.371,>16.371,99.990,0.215,0.205,g
2459011.95422,2020-06-11.4531317,bA,1.99,16.416,>16.416,99.990,0.317,0.197,g
2459013.86351,2020-06-13.3622704,bq,1.49,16.743,>16.743,99.990,0.447,0.146,g
2459013.86473,2020-06-13.3634932,bq,1.51,16.830,>16.830,99.990,0.378,0.135,g
2459013.86595,2020-06-13.3647130,bq,1.50,16.690,>16.690,99.990,0.666,0.153,g
2459013.92680,2020-06-13.4255663,br,1.49,16.885,>16.885,99.990,0.381,0.128,g
2459013.92803,2020-06-13.4267905,br,1.45,17.043,>17.043,99.990,0.299,0.111,g
2459013.92924,2020-06-13.4280050,br,1.46,16.979,>16.979,99.990,0.418,0.117,g
2459014.98332,2020-06-14.4819972,bA,1.64,17.104,>17.104,99.990,0.287,0.105,g
2459014.98463,2020-06-14.4833072,bA,1.67,17.344,>17.344,99.990,0.393,0.084,g
2459014.98594,2020-06-14.4846180,bA,1.98,17.169,17.008,0.189,0.571,0.099,g
2459015.95339,2020-06-15.4519928,bB,2.17,17.467,17.238,0.178,0.462,0.075,g
2459015.95470,2020-06-15.4533013,bB,2.18,17.682,17.415,0.172,0.393,0.061,g
2459015.95600,2020-06-15.4546104,bB,2.28,17.623,17.571,0.209,0.340,0.065,g
2459017.91584,2020-06-17.4143056,bA,1.67,17.304,17.016,0.168,0.567,0.087,g
2459017.91716,2020-06-17.4156236,bA,1.72,17.080,>17.080,99.990,0.450,0.107,g
2459017.91847,2020-06-17.4169342,bA,1.60,17.346,>17.346,99.990,0.418,0.084,g
2459018.02149,2020-06-17.5199376,bB,2.07,17.499,17.455,0.211,0.378,0.073,g
2459018.02280,2020-06-17.5212559,bB,2.08,17.757,17.409,0.159,0.395,0.057,g
2459018.02411,2020-06-17.5225622,bB,2.08,17.764,17.177,0.128,0.489,0.057,g
2459020.79444,2020-06-20.2926960,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2459020.79567,2020-06-20.2939204,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2459020.79689,2020-06-20.2951355,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2459020.97489,2020-06-20.4731210,bA,1.99,17.313,17.106,0.181,0.522,0.086,g
2459020.97620,2020-06-20.4744350,bA,1.98,17.282,>17.282,99.990,0.405,0.089,g
2459020.97751,2020-06-20.4757424,bA,1.98,17.437,17.307,0.195,0.434,0.077,g
2459023.00451,2020-06-22.5026012,bB,2.16,17.334,>17.334,99.990,0.419,0.085,g
2459023.00582,2020-06-22.5039142,bB,2.19,17.124,>17.124,99.990,0.167,0.103,g
2459023.00713,2020-06-22.5052166,bB,2.18,17.219,>17.219,99.990,0.427,0.094,g
2459023.93695,2020-06-23.4349774,bA,1.67,16.623,>16.623,99.990,0.475,0.163,g
2459023.93826,2020-06-23.4362878,bA,1.68,16.719,>16.719,99.990,0.345,0.149,g
2459023.93957,2020-06-23.4375967,bA,1.71,16.527,>16.527,99.990,0.233,0.178,g
2459025.77586,2020-06-25.2737560,br,1.42,99.990,99.990,99.990,99.990,99.990,g
2459025.77707,2020-06-25.2749710,br,1.40,17.157,>17.157,99.990,0.264,0.100,g
2459025.77830,2020-06-25.2761978,br,1.39,99.990,99.990,99.990,99.990,99.990,g
2459026.75016,2020-06-26.2479804,bq,1.44,16.881,>16.881,99.990,0.021,0.128,g
2459026.75137,2020-06-26.2491951,bq,1.49,16.885,>16.885,99.990,0.177,0.128,g
2459026.75259,2020-06-26.2504145,bq,1.43,16.899,>16.899,99.990,0.327,0.126,g
2459028.96939,2020-06-28.4670653,bB,2.05,17.542,17.419,0.196,0.391,0.070,g
2459028.97070,2020-06-28.4683745,bB,2.06,17.483,>17.483,99.990,0.342,0.074,g
2459028.97201,2020-06-28.4696849,bB,2.06,17.685,17.049,0.122,0.550,0.061,g
2459030.95609,2020-06-30.4536332,bB,2.22,16.823,>16.823,99.990,0.399,0.136,g
2459030.95739,2020-06-30.4549376,bB,2.20,16.890,>16.890,99.990,0.128,0.127,g
2459030.95871,2020-06-30.4562577,bB,2.21,16.729,>16.729,99.990,0.525,0.148,g
2459032.50406,2020-07-02.0014980,bm,1.64,15.744,>15.744,99.990,-0.491,0.366,g
2459032.50529,2020-07-02.0027342,bm,1.59,15.780,>15.780,99.990,0.206,0.354,g
2459032.96889,2020-07-02.4662983,bA,1.98,16.341,>16.341,99.990,0.421,0.211,g
2459032.97020,2020-07-02.4676104,bA,1.99,16.356,>16.356,99.990,0.243,0.208,g
2459032.97151,2020-07-02.4689187,bA,1.99,16.350,>16.350,99.990,0.245,0.209,g
2459033.89711,2020-07-03.3944524,bB,2.03,16.243,>16.243,99.990,0.511,0.231,g
2459033.89842,2020-07-03.3957626,bB,2.06,16.316,>16.316,99.990,0.423,0.216,g
2459033.89976,2020-07-03.3971097,bB,2.06,16.186,>16.186,99.990,0.516,0.244,g
2459035.87674,2020-07-05.3739586,br,1.53,15.819,>15.819,99.990,0.315,0.342,g
2459035.87796,2020-07-05.3751795,br,1.51,15.734,>15.734,99.990,-0.629,0.369,g
2459035.87917,2020-07-05.3763939,br,1.54,15.758,>15.758,99.990,0.862,0.361,g
2459035.97639,2020-07-05.4736057,bA,2.00,15.889,>15.889,99.990,0.065,0.320,g
2459035.97771,2020-07-05.4749209,bA,2.07,15.827,>15.827,99.990,0.017,0.339,g
2459035.97902,2020-07-05.4762340,bA,2.05,15.683,>15.683,99.990,-0.434,0.387,g
2459036.49668,2020-07-05.9938635,bm,1.66,15.245,>15.245,99.990,-0.184,0.580,g
2459036.49790,2020-07-05.9950806,bm,1.53,15.273,>15.273,99.990,0.328,0.565,g
2459036.49911,2020-07-05.9963005,bm,1.53,15.254,>15.254,99.990,-0.127,0.575,g
2459037.76459,2020-07-07.2616887,bq,1.49,15.740,>15.740,99.990,0.119,0.367,g
2459037.76580,2020-07-07.2629106,bq,1.47,15.577,>15.577,99.990,0.471,0.427,g
2459037.76703,2020-07-07.2641335,bq,1.48,15.667,>15.667,99.990,0.520,0.393,g
2459041.85651,2020-07-11.3533745,bA,2.05,17.170,>17.170,99.990,0.364,0.098,g
2459041.85782,2020-07-11.3546857,bA,2.06,17.157,>17.157,99.990,0.372,0.100,g
2459041.85913,2020-07-11.3559960,bA,2.09,17.213,>17.213,99.990,0.322,0.095,g
2459041.88044,2020-07-11.3773028,bB,2.09,17.332,17.271,0.207,0.449,0.085,g
2459041.88175,2020-07-11.3786103,bB,2.04,17.448,17.076,0.156,0.537,0.076,g
2459041.88305,2020-07-11.3799100,bB,2.03,17.330,17.149,0.186,0.502,0.085,g
2459042.88345,2020-07-12.3802563,br,1.46,16.845,>16.845,99.990,0.311,0.133,g
2459042.88467,2020-07-12.3814760,br,1.44,16.936,16.774,0.189,0.709,0.122,g
2459043.88208,2020-07-13.3788219,br,1.48,17.045,>17.045,99.990,0.067,0.110,g
2459043.88329,2020-07-13.3800379,br,1.45,17.149,>17.149,99.990,0.329,0.100,g
2459043.88451,2020-07-13.3812561,br,1.43,17.089,>17.089,99.990,0.377,0.106,g
2459044.84483,2020-07-14.3415182,bA,2.04,17.085,17.037,0.210,0.556,0.106,g
2459044.84614,2020-07-14.3428343,bA,2.00,17.225,17.140,0.203,0.506,0.094,g
2459047.59631,2020-07-17.0928491,bn,1.58,16.994,>16.994,99.990,0.427,0.116,g
2459047.59752,2020-07-17.0940663,bn,1.56,17.187,>17.187,99.990,0.482,0.097,g
2459047.59874,2020-07-17.0952846,bn,1.55,17.081,>17.081,99.990,0.205,0.107,g
2459048.83193,2020-07-18.3284100,bA,1.62,17.228,>17.228,99.990,0.357,0.093,g
2459048.83324,2020-07-18.3297174,bA,1.64,17.417,17.248,0.188,0.458,0.078,g
2459048.83455,2020-07-18.3310267,bA,1.62,17.364,>17.364,99.990,0.205,0.082,g
2459050.49626,2020-07-19.9926563,bn,1.56,17.148,17.027,0.196,0.561,0.100,g
2459050.49749,2020-07-19.9938850,bn,1.61,17.124,16.932,0.184,0.613,0.103,g
2459050.49870,2020-07-19.9951018,bn,1.58,17.085,16.798,0.168,0.694,0.106,g
2459051.83353,2020-07-21.3298581,bA,2.11,17.351,>17.351,99.990,0.387,0.083,g
2459051.83482,2020-07-21.3311486,bA,2.05,17.265,>17.265,99.990,0.258,0.090,g
2459051.83610,2020-07-21.3324303,bA,2.04,17.368,>17.368,99.990,0.331,0.082,g
2459053.87238,2020-07-23.3686068,bB,2.05,17.496,>17.496,99.990,0.362,0.073,g
2459053.87366,2020-07-23.3698945,bB,2.04,17.391,17.202,0.184,0.478,0.080,g
2459053.87494,2020-07-23.3711723,bB,2.04,17.434,>17.434,99.990,0.326,0.077,g
2459055.46690,2020-07-24.9630586,bn,1.57,16.983,>16.983,99.990,0.513,0.117,g
2459055.46811,2020-07-24.9642745,bn,1.51,16.993,>16.993,99.990,0.571,0.116,g
2459055.46936,2020-07-24.9655186,bn,1.46,17.069,16.748,0.163,0.725,0.108,g
2459055.52215,2020-07-25.0183109,bm,1.64,16.530,16.495,0.212,0.916,0.178,g
2459055.52353,2020-07-25.0196858,bm,1.69,16.603,>16.603,99.990,0.107,0.166,g
2459055.52520,2020-07-25.0213601,bm,1.66,16.593,>16.593,99.990,0.220,0.167,g
2459058.43301,2020-07-27.9290409,bm,1.52,16.106,>16.106,99.990,-0.034,0.262,g
2459058.43422,2020-07-27.9302567,bm,1.56,16.403,>16.403,99.990,0.543,0.200,g
2459058.93067,2020-07-28.4266803,bq,1.45,16.992,>16.992,99.990,0.377,0.116,g
2459058.93189,2020-07-28.4279021,bq,1.48,16.919,>16.919,99.990,0.570,0.124,g
2459058.95336,2020-07-28.4493754,bB,2.11,17.534,17.275,0.173,0.446,0.070,g
2459058.95464,2020-07-28.4506542,bB,2.11,17.579,17.208,0.156,0.475,0.068,g
2459058.95593,2020-07-28.4519421,bB,2.12,17.578,17.082,0.139,0.534,0.068,g
2459060.42121,2020-07-29.9171679,bm,1.71,15.928,>15.928,99.990,-0.037,0.309,g
2459060.42243,2020-07-29.9183853,bm,1.57,15.878,>15.878,99.990,-0.111,0.323,g
2459060.42365,2020-07-29.9196037,bm,1.66,15.848,>15.848,99.990,0.088,0.332,g
2459060.44746,2020-07-29.9434172,bn,1.56,16.191,>16.191,99.990,0.727,0.242,g
2459060.44867,2020-07-29.9446229,bn,1.63,16.141,>16.141,99.990,0.252,0.254,g
2459060.44989,2020-07-29.9458430,bn,1.55,16.254,>16.254,99.990,0.598,0.229,g
2459061.91330,2020-07-31.4092031,bA,2.06,16.279,>16.279,99.990,0.593,0.224,g
2459061.91460,2020-07-31.4105038,bA,2.06,16.381,>16.381,99.990,0.408,0.203,g
2459061.91590,2020-07-31.4117932,bA,2.05,16.372,>16.372,99.990,0.320,0.205,g
2459062.95928,2020-08-01.4551376,bq,1.54,16.913,>16.913,99.990,0.157,0.125,g
2459062.96051,2020-08-01.4563663,bq,1.51,16.810,16.714,0.201,0.748,0.137,g
2459062.96173,2020-08-01.4575893,bq,1.48,16.890,>16.890,99.990,0.325,0.127,g
2459063.44412,2020-08-01.9399644,bn,1.65,15.508,>15.508,99.990,0.564,0.455,g
2459063.44534,2020-08-01.9411804,bn,1.65,15.566,>15.566,99.990,0.619,0.431,g
2459063.44680,2020-08-01.9426449,bn,1.50,15.364,>15.364,99.990,0.622,0.519,g
2459065.76950,2020-08-04.2652597,br,1.45,15.817,>15.817,99.990,1.100,0.342,g
2459065.77072,2020-08-04.2664796,br,1.46,15.930,>15.930,99.990,0.485,0.308,g
2459065.77194,2020-08-04.2677003,br,1.43,15.820,>15.820,99.990,0.391,0.341,g
2459066.80691,2020-08-05.3026431,bA,2.00,15.792,>15.792,99.990,0.758,0.350,g
2459066.80816,2020-08-05.3038892,bA,2.00,15.738,>15.738,99.990,0.498,0.368,g
2459066.80941,2020-08-05.3051405,bA,2.02,15.767,>15.767,99.990,0.205,0.358,g
2459069.00521,2020-08-07.5008753,bB,2.06,16.618,>16.618,99.990,0.621,0.164,g
2459069.00645,2020-08-07.5021121,bB,2.05,16.697,>16.697,99.990,0.605,0.152,g
2459069.00769,2020-08-07.5033539,bB,2.05,16.959,>16.959,99.990,0.271,0.120,g
2459069.06187,2020-08-07.5575451,bA,2.00,16.405,>16.405,99.990,0.277,0.199,g
2459069.06313,2020-08-07.5587878,bA,1.99,16.479,>16.479,99.990,0.341,0.186,g
2459069.06437,2020-08-07.5600305,bA,2.00,16.170,>16.170,99.990,0.512,0.247,g
2459070.98133,2020-08-09.4769399,bB,2.04,17.026,>17.026,99.990,0.462,0.112,g
2459070.98257,2020-08-09.4781802,bB,2.04,16.858,>16.858,99.990,0.424,0.131,g
2459070.98382,2020-08-09.4794231,bB,2.03,16.920,>16.920,99.990,0.164,0.124,g
2459071.98296,2020-08-10.4785410,bA,1.99,16.973,>16.973,99.990,0.370,0.118,g
2459071.98420,2020-08-10.4797863,bA,1.98,16.781,>16.781,99.990,0.485,0.141,g
2459071.98544,2020-08-10.4810255,bA,1.98,17.135,>17.135,99.990,0.202,0.102,g
2459073.82109,2020-08-12.3166276,bB,2.07,17.532,17.059,0.142,0.545,0.071,g
2459073.82233,2020-08-12.3178668,bB,2.06,17.622,17.264,0.158,0.451,0.065,g
2459073.82357,2020-08-12.3191090,bB,2.08,17.504,17.331,0.187,0.424,0.072,g
2459073.89691,2020-08-12.3924439,bA,2.01,17.491,17.480,0.217,0.370,0.073,g
2459073.89814,2020-08-12.3936812,bA,2.03,17.380,17.206,0.187,0.476,0.081,g
2459075.00815,2020-08-13.5036686,bB,2.12,17.284,>17.284,99.990,0.360,0.089,g
2459075.00940,2020-08-13.5049140,bB,2.12,17.384,>17.384,99.990,0.299,0.081,g
2459075.01064,2020-08-13.5061521,bB,2.16,17.284,17.036,0.175,0.556,0.089,g
2459075.01570,2020-08-13.5112079,bA,2.00,17.081,>17.081,99.990,0.248,0.107,g
2459075.01694,2020-08-13.5124501,bA,1.99,17.295,>17.295,99.990,0.434,0.088,g
2459075.01818,2020-08-13.5136944,bA,1.98,17.226,>17.226,99.990,0.441,0.093,g
2459078.91853,2020-08-17.4139856,bA,2.00,17.505,17.453,0.209,0.379,0.072,g
2459078.91979,2020-08-17.4152314,bA,1.99,17.364,17.354,0.217,0.415,0.082,g
2459078.92103,2020-08-17.4164717,bA,1.99,17.372,17.342,0.213,0.420,0.082,g
2459080.74339,2020-08-19.2388048,bq,1.43,16.952,>16.952,99.990,0.583,0.120,g
2459080.74462,2020-08-19.2400325,bq,1.42,16.913,>16.913,99.990,0.301,0.125,g
2459080.74584,2020-08-19.2412523,bq,1.47,17.065,17.024,0.211,0.563,0.108,g
2459082.76104,2020-08-21.2564284,bB,2.46,17.247,>17.247,99.990,0.430,0.092,g
2459082.76229,2020-08-21.2576723,bB,2.45,17.024,>17.024,99.990,0.345,0.113,g
2459082.87983,2020-08-21.3752187,bq,1.47,16.388,>16.388,99.990,0.584,0.202,g
2459082.88105,2020-08-21.3764371,bq,1.44,16.626,>16.626,99.990,0.195,0.162,g
2459082.88227,2020-08-21.3776578,bq,1.44,16.620,>16.620,99.990,0.540,0.163,g
2459083.01669,2020-08-21.5120784,bB,2.08,17.546,17.260,0.169,0.453,0.070,g
2459083.01794,2020-08-21.5133271,bB,2.06,17.778,17.417,0.157,0.392,0.056,g
2459083.01918,2020-08-21.5145666,bB,2.08,17.633,17.143,0.140,0.505,0.064,g
2459084.86585,2020-08-23.3612127,bA,1.96,17.460,17.275,0.185,0.447,0.075,g
2459084.86708,2020-08-23.3624483,bA,1.97,17.267,17.246,0.215,0.459,0.090,g
2459084.86832,2020-08-23.3636879,bA,1.96,17.274,>17.274,99.990,0.346,0.089,g
2459084.99828,2020-08-23.4936459,bB,2.14,17.512,17.172,0.160,0.491,0.072,g
2459084.99952,2020-08-23.4948886,bB,2.13,17.616,>17.616,99.990,0.321,0.065,g
